ID,Mercado,Cadena
10,Aguascalientes Centro Comercial Agropecuario de Aguascalientes,Aguascalientes:%20Centro%20Comercial%20Agropecuario%20de%20Aguascalientes
33,Baja California Norte Central de Abasto INDIA Tijuana,"Baja%20California%20:%20Central%20de%20Abasto%20INDIA,%20Tijuana"
20,Baja California Sur Union de Comerciantes de La Paz,Baja%20California%20Sur:%20Uni%C3%B3n%20de%20Comerciantes%20de%20La%20Paz
40,Campeche Mercado Pedro Sainz de Baranda Campeche,"Campeche:%20Mercado%20%22Pedro%20S%C3%A1inz%20de%20Baranda%22,%20Campeche"
50,Coahuila Central de Abasto de La Laguna Torreon,"Coahuila:%20Central%20de%20Abasto%20de%20La%20Laguna,%20Torre%C3%B3n"
80,Centros de distribucion de Colima,Colima:%20Centros%20de%20distribuci%C3%B3n%20de%20Colima
70,Central de Abasto de Tuxtla Gutierrez,Chiapas:%20Central%20de%20Abasto%20de%20Tuxtla%20Guti%c3%a9rrez
61,Central de Abasto de Chihuahua,Chihuahua:%20Central%20de%20Abasto%20de%20Chihuahua
63,Mercado de Abasto de Cd Juarez,Chihuahua:%20Mercado%20de%20Abasto%20de%20Cd.%20Ju%C3%A1rez
100,Central de Abasto de Iztapalapa DF,DF:%20Central%20de%20Abasto%20de%20Iztapalapa%20DF
102,Durango Central de Abasto Francisco Villa,Durango:%20Central%20de%20Abasto%20%22Francisco%20Villa%22
101,Durango Centro de Distribucion y Abasto de Gomez Palacio,Durango:%20Centro%20de%20Distribuci%C3%B3n%20y%20Abasto%20de%20G%C3%B3mez%20Palacio
110,Guanajuato Central de Abasto de Leon,Guanajuato:%20Central%20de%20Abasto%20de%20Le%C3%B3n
112,Guanajuato Mercado de Abasto de Celaya Benito Juarez,Guanajuato:%20Mercado%20de%20Abasto%20de%20Celaya%20(%22Benito%20Ju%C3%A1rez%22)
111,Guanajuato Modulo de Abasto Irapuato,Guanajuato:%20M%C3%B3dulo%20de%20Abasto%20Irapuato
121,Guerrero Central de Abastos de Acapulco,Guerrero:%20Central%20de%20Abastos%20de%20Acapulco
130,Hidalgo Central de Abasto de Pachuca,Hidalgo:%20Central%20de%20Abasto%20de%20Pachuca
140,Jalisco Mercado de Abasto de Guadalajara,Jalisco:%20Mercado%20de%20Abasto%20de%20Guadalajara
141,Jalisco Mercado Felipe angeles de Guadalajara,Jalisco:%20Mercado%20Felipe%20%c3%81ngeles%20de%20Guadalajara
151,Mexico Central de Abasto de Ecatepec,M%C3%A9xico:%20Central%20de%20Abasto%20de%20Ecatepec
